"CellID","seurat_cluster.projected"
"s_008um_00579_00156-1","0"
"s_008um_00568_00147-1","0"
"s_008um_00596_00192-1","2"
"s_008um_00650_00278-1","1"
"s_008um_00542_00237-1","0"
"s_008um_00565_00147-1","0"
"s_008um_00612_00225-1","0"
"s_008um_00583_00211-1","2"
"s_008um_00624_00180-1","0"
"s_008um_00585_00249-1","0"
"s_008um_00561_00247-1","1"
"s_008um_00575_00265-1","0"
"s_008um_00549_00258-1","1"
"s_008um_00628_00238-1","0"
"s_008um_00609_00257-1","2"
"s_008um_00519_00166-1","1"
"s_008um_00654_00213-1","2"
"s_008um_00553_00265-1","0"
"s_008um_00615_00231-1","2"
"s_008um_00551_00190-1","0"
"s_008um_00587_00259-1","0"
"s_008um_00517_00264-1","0"
"s_008um_00534_00135-1","0"
"s_008um_00565_00221-1","2"
"s_008um_00641_00192-1","1"
"s_008um_00597_00137-1","1"
"s_008um_00567_00183-1","2"
"s_008um_00533_00137-1","1"
"s_008um_00623_00226-1","0"
"s_008um_00644_00210-1","1"
"s_008um_00631_00168-1","1"
"s_008um_00554_00205-1","0"
"s_008um_00552_00224-1","0"
"s_008um_00517_00175-1","0"
"s_008um_00635_00205-1","0"
"s_008um_00606_00178-1","0"
"s_008um_00588_00218-1","0"
"s_008um_00536_00231-1","0"
"s_008um_00534_00176-1","2"
"s_008um_00592_00212-1","2"
"s_008um_00521_00232-1","0"
"s_008um_00645_00189-1","1"
"s_008um_00596_00229-1","0"
"s_008um_00564_00152-1","0"
"s_008um_00591_00158-1","0"
"s_008um_00533_00242-1","0"
"s_008um_00535_00150-1","1"
"s_008um_00548_00233-1","1"
"s_008um_00556_00259-1","1"
"s_008um_00528_00246-1","0"
"s_008um_00592_00194-1","1"
"s_008um_00605_00170-1","0"
"s_008um_00527_00267-1","0"
"s_008um_00548_00201-1","0"
"s_008um_00528_00173-1","1"
"s_008um_00630_00184-1","0"
"s_008um_00636_00242-1","0"
"s_008um_00563_00272-1","0"
"s_008um_00639_00273-1","2"
"s_008um_00611_00204-1","2"
"s_008um_00558_00206-1","2"
"s_008um_00651_00193-1","1"
"s_008um_00654_00233-1","1"
"s_008um_00570_00190-1","0"
"s_008um_00519_00265-1","0"
"s_008um_00532_00219-1","0"
"s_008um_00586_00245-1","0"
"s_008um_00575_00147-1","0"
"s_008um_00528_00264-1","0"
"s_008um_00534_00253-1","0"
"s_008um_00610_00166-1","0"
"s_008um_00582_00264-1","0"
"s_008um_00547_00264-1","0"
"s_008um_00565_00201-1","2"
"s_008um_00524_00259-1","0"
"s_008um_00568_00196-1","2"
"s_008um_00573_00182-1","2"
"s_008um_00542_00216-1","1"
"s_008um_00606_00146-1","0"
"s_008um_00637_00141-1","0"
"s_008um_00618_00184-1","0"
"s_008um_00653_00260-1","1"
"s_008um_00613_00136-1","1"
"s_008um_00546_00173-1","0"
"s_008um_00596_00206-1","0"
"s_008um_00518_00180-1","0"
"s_008um_00538_00173-1","1"
"s_008um_00538_00250-1","0"
"s_008um_00554_00144-1","0"
"s_008um_00527_00225-1","0"
"s_008um_00609_00180-1","2"
"s_008um_00605_00155-1","0"
"s_008um_00623_00210-1","0"
"s_008um_00539_00230-1","0"
"s_008um_00609_00229-1","0"
"s_008um_00544_00212-1","0"
"s_008um_00545_00174-1","0"
"s_008um_00611_00270-1","2"
"s_008um_00550_00249-1","1"
"s_008um_00602_00142-1","0"
"s_008um_00606_00167-1","0"
"s_008um_00536_00252-1","2"
"s_008um_00528_00191-1","0"
"s_008um_00594_00174-1","1"
"s_008um_00516_00203-1","0"
"s_008um_00559_00169-1","0"
"s_008um_00542_00229-1","0"
"s_008um_00596_00268-1","0"
"s_008um_00581_00172-1","2"
"s_008um_00635_00147-1","2"
"s_008um_00585_00201-1","1"
"s_008um_00612_00238-1","0"
"s_008um_00619_00247-1","0"
"s_008um_00614_00174-1","0"
"s_008um_00574_00255-1","2"
"s_008um_00597_00230-1","0"
"s_008um_00573_00196-1","1"
"s_008um_00583_00157-1","0"
"s_008um_00640_00268-1","0"
"s_008um_00548_00187-1","0"
"s_008um_00524_00228-1","0"
"s_008um_00625_00208-1","0"
"s_008um_00592_00242-1","2"
"s_008um_00529_00224-1","0"
"s_008um_00581_00263-1","0"
"s_008um_00590_00233-1","0"
"s_008um_00646_00204-1","1"
"s_008um_00587_00225-1","0"
"s_008um_00630_00147-1","1"
"s_008um_00640_00193-1","1"
"s_008um_00537_00261-1","0"
"s_008um_00518_00266-1","0"
"s_008um_00593_00182-1","0"
"s_008um_00551_00189-1","0"
"s_008um_00654_00186-1","1"
"s_008um_00545_00251-1","1"
"s_008um_00542_00170-1","1"
"s_008um_00643_00229-1","1"
"s_008um_00552_00256-1","1"
"s_008um_00559_00207-1","0"
"s_008um_00543_00139-1","1"
"s_008um_00516_00266-1","0"
"s_008um_00541_00221-1","1"
"s_008um_00516_00239-1","2"
"s_008um_00561_00141-1","0"
"s_008um_00643_00188-1","1"
"s_008um_00649_00223-1","1"
"s_008um_00601_00170-1","2"
"s_008um_00586_00243-1","0"
"s_008um_00603_00234-1","0"
"s_008um_00597_00199-1","2"
"s_008um_00519_00145-1","0"
"s_008um_00515_00274-1","0"
"s_008um_00635_00270-1","2"
"s_008um_00541_00184-1","1"
"s_008um_00581_00180-1","0"
"s_008um_00535_00192-1","0"
"s_008um_00623_00167-1","0"
"s_008um_00611_00246-1","0"
"s_008um_00602_00212-1","2"
"s_008um_00541_00234-1","0"
"s_008um_00545_00142-1","1"
"s_008um_00559_00211-1","0"
"s_008um_00625_00254-1","2"
"s_008um_00619_00187-1","0"
"s_008um_00601_00218-1","0"
"s_008um_00647_00268-1","2"
"s_008um_00628_00150-1","2"
"s_008um_00560_00222-1","0"
"s_008um_00586_00154-1","0"
"s_008um_00585_00234-1","0"
"s_008um_00521_00140-1","2"
"s_008um_00637_00236-1","1"
"s_008um_00549_00216-1","0"
"s_008um_00610_00230-1","0"
"s_008um_00588_00175-1","2"
"s_008um_00602_00267-1","2"
"s_008um_00547_00212-1","0"
"s_008um_00543_00195-1","0"
"s_008um_00625_00147-1","2"
"s_008um_00579_00253-1","0"
"s_008um_00654_00182-1","1"
"s_008um_00532_00237-1","0"
"s_008um_00565_00243-1","1"
"s_008um_00638_00202-1","0"
"s_008um_00632_00162-1","2"
"s_008um_00587_00271-1","0"
"s_008um_00565_00268-1","1"
"s_008um_00554_00139-1","1"
"s_008um_00537_00220-1","0"
"s_008um_00621_00138-1","1"
"s_008um_00604_00226-1","0"
"s_008um_00604_00259-1","0"
"s_008um_00646_00253-1","2"
"s_008um_00643_00141-1","0"
"s_008um_00616_00276-1","2"
"s_008um_00559_00198-1","2"
"s_008um_00560_00230-1","2"
"s_008um_00597_00201-1","2"
"s_008um_00618_00152-1","1"
"s_008um_00581_00208-1","2"
"s_008um_00534_00269-1","1"
"s_008um_00519_00188-1","0"
"s_008um_00586_00268-1","0"
"s_008um_00560_00190-1","0"
"s_008um_00578_00195-1","1"
"s_008um_00559_00171-1","2"
"s_008um_00542_00164-1","2"
"s_008um_00534_00140-1","1"
"s_008um_00585_00145-1","0"
"s_008um_00603_00169-1","0"
"s_008um_00585_00165-1","1"
"s_008um_00537_00271-1","0"
"s_008um_00555_00224-1","0"
"s_008um_00568_00193-1","1"
"s_008um_00553_00135-1","1"
"s_008um_00540_00199-1","1"
"s_008um_00573_00275-1","0"
"s_008um_00644_00171-1","2"
"s_008um_00531_00156-1","1"
"s_008um_00605_00230-1","1"
"s_008um_00626_00188-1","0"
"s_008um_00619_00172-1","0"
"s_008um_00578_00179-1","1"
"s_008um_00585_00138-1","0"
"s_008um_00638_00213-1","0"
"s_008um_00600_00273-1","0"
"s_008um_00639_00139-1","0"
"s_008um_00644_00258-1","0"
"s_008um_00641_00233-1","1"
"s_008um_00615_00168-1","0"
"s_008um_00607_00265-1","2"
"s_008um_00566_00151-1","0"
"s_008um_00582_00238-1","1"
"s_008um_00520_00210-1","0"
"s_008um_00585_00142-1","0"
"s_008um_00525_00169-1","1"
"s_008um_00530_00166-1","1"
"s_008um_00547_00165-1","1"
"s_008um_00615_00160-1","0"
"s_008um_00537_00201-1","1"
"s_008um_00652_00192-1","1"
"s_008um_00539_00254-1","0"
"s_008um_00575_00164-1","2"
"s_008um_00597_00275-1","0"
"s_008um_00560_00198-1","2"
"s_008um_00609_00185-1","2"
"s_008um_00625_00196-1","0"
"s_008um_00586_00260-1","2"
"s_008um_00596_00203-1","2"
"s_008um_00609_00162-1","0"
"s_008um_00641_00204-1","0"
"s_008um_00528_00199-1","0"
"s_008um_00603_00257-1","2"
"s_008um_00626_00160-1","1"
"s_008um_00638_00189-1","0"
"s_008um_00559_00173-1","0"
"s_008um_00578_00166-1","0"
"s_008um_00526_00221-1","0"
"s_008um_00626_00275-1","2"
"s_008um_00513_00273-1","0"
"s_008um_00571_00204-1","0"
"s_008um_00566_00172-1","2"
"s_008um_00594_00172-1","0"
"s_008um_00612_00154-1","0"
"s_008um_00640_00277-1","0"
"s_008um_00522_00248-1","0"
"s_008um_00648_00239-1","1"
"s_008um_00649_00219-1","1"
"s_008um_00614_00199-1","1"
"s_008um_00527_00177-1","0"
"s_008um_00597_00197-1","0"
"s_008um_00618_00215-1","0"
"s_008um_00575_00149-1","0"
"s_008um_00534_00246-1","2"
"s_008um_00563_00183-1","1"
"s_008um_00547_00160-1","0"
"s_008um_00606_00139-1","2"
"s_008um_00650_00242-1","1"
"s_008um_00547_00256-1","2"
"s_008um_00534_00236-1","0"
"s_008um_00520_00225-1","0"
"s_008um_00566_00186-1","0"
"s_008um_00592_00206-1","2"
"s_008um_00626_00213-1","0"
"s_008um_00549_00268-1","0"
"s_008um_00532_00245-1","0"
"s_008um_00583_00259-1","0"
"s_008um_00565_00169-1","2"
"s_008um_00640_00179-1","1"
"s_008um_00585_00235-1","0"
"s_008um_00547_00158-1","0"
"s_008um_00599_00254-1","2"
"s_008um_00530_00240-1","0"
"s_008um_00630_00234-1","0"
"s_008um_00560_00223-1","0"
"s_008um_00530_00169-1","1"
"s_008um_00557_00233-1","0"
"s_008um_00546_00197-1","0"
